Year,Population,Birth_Rate,Death_Rate,Net_Migration,Population_Next_Year
1976,6500000,28.5,9.2,85000,6650000.0
1977,6650000,28.1,9.0,90000,6810000.0
1978,6810000,27.8,8.8,95000,6980000.0
1979,6980000,27.5,8.7,100000,7160000.0
1980,7160000,27.2,8.6,105000,7350000.0
1981,7350000,26.9,8.5,110000,7550000.0
1982,7550000,26.6,8.4,115000,7760000.0
1983,7760000,26.3,8.3,120000,7980000.0
1984,7980000,26.0,8.2,125000,8210000.0
1985,8210000,25.7,8.1,130000,8450000.0
1986,8450000,25.4,8.0,135000,8700000.0
1987,8700000,25.1,7.9,140000,8960000.0
1988,8960000,24.8,7.8,145000,9230000.0
1989,9230000,24.5,7.7,150000,9510000.0
1990,9510000,24.2,7.6,155000,9800000.0
1991,9800000,23.9,7.5,160000,10100000.0
1992,10100000,23.6,7.4,165000,10410000.0
1993,10410000,23.3,7.3,170000,10730000.0
1994,10730000,23.0,7.2,175000,11060000.0
1995,11060000,22.7,7.1,180000,11400000.0
1996,11400000,22.4,7.0,185000,11750000.0
1997,11750000,22.1,6.9,190000,12110000.0
1998,12110000,21.8,6.8,195000,12480000.0
1999,12480000,21.5,6.7,200000,12860000.0
2000,12860000,21.2,6.6,205000,13250000.0
2001,13250000,20.9,6.5,210000,13650000.0
2002,13650000,20.6,6.4,215000,14060000.0
2003,14060000,20.3,6.3,220000,14480000.0
2004,14480000,20.0,6.2,225000,14910000.0
2005,14910000,19.7,6.1,230000,15350000.0
2006,15350000,19.4,6.0,235000,15800000.0
2007,15800000,19.1,5.9,240000,16260000.0
2008,16260000,18.8,5.8,245000,16730000.0
2009,16730000,18.5,5.7,250000,17210000.0
2010,17210000,18.2,5.6,255000,17700000.0
2011,17700000,17.9,5.5,260000,18200000.0
2012,18200000,17.6,5.4,265000,18710000.0
2013,18710000,17.3,5.3,270000,19230000.0
2014,19230000,17.0,5.2,275000,19760000.0
2015,19760000,16.7,5.1,280000,20300000.0
2016,20300000,16.4,5.0,285000,20850000.0
2017,20850000,16.1,4.9,290000,21410000.0
2018,21410000,15.8,4.8,295000,21980000.0
2019,21980000,15.5,4.7,300000,22560000.0
2020,22560000,15.2,4.6,305000,23150000.0
2021,23150000,14.9,4.5,310000,23750000.0
2022,23750000,14.6,4.4,315000,24360000.0
2023,24360000,14.3,4.3,320000,24980000.0
2024,24980000,14.0,4.2,325000,25610000.0
2025,25610000,13.7,4.1,330000,
